,source_id,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,pseudocolour,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,radial_velocity,phot_variable_flag,in_qso_candidates,in_galaxy_candidates,non_single_star,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot,gaia_ra,gaia_dec,gaia_ra_e,gaia_dec_e,radio_ra,radio_dec,radio_ra_e,radio_dec_e,radio_idx,d2d,d3d,1.266GHz,1.266GHz_e,Group,MG
19,4625346286468132096,0.8595399112894042,0.026053287,3.0254883110635777,0.036243767,5.951704913595786,0.034422684,,False,10272.577948728886,3.469312,15.658168,4876.991116478714,15.621161,16.118162,7600.842746815561,15.045741,1.0724211,,NOT_AVAILABLE,False,False,0,1.02453114e-13,5.11751e-13,5087.4263,4.4359,0.0752,1127.2787,0.0999,0.0802,0.0423,61.67501347808897,-80.14009978882859,0.026783256,0.024427162,61.67553333333333,-80.14033611111111,0.0009583333333333333,0.00016388888888888887,3044,0.9091162567398331,4.407519989852027e-06,11.3,1.4,,5.32949823612366
20,4625342193362817536,1.0980884703392086,0.08979376,5.926646626047401,0.111228734,12.14229309431813,0.113903224,,False,1231.944652177996,1.5124661,17.96089,376.92418274727896,8.20947,18.897907,1240.5668924109536,17.013845,1.8840618,,NOT_AVAILABLE,False,False,0,1.0282497e-13,5.4561667e-13,3815.727,4.7905,-0.4398,653.1436,0.3256,0.2304,0.1268,61.692537094027,-80.33627157157949,0.08346456,0.08505628,61.69025833333332,-80.33589166666667,0.0006291666666666665,0.00010555555555555555,3086,1.940860016685688,9.409554892029704e-06,29.0,2.7,,8.16407665791234
21,4625364119172232448,3.497424760745956,0.01117152,64.52919551483023,0.014697475,42.09189633750679,0.014824226,,False,221194.33064929667,40.07649,12.325432,109819.0080889448,57.709564,12.736849,159620.50531110234,11.740173,0.9966755,21.123552,NOT_AVAILABLE,False,False,0,1.0615666e-13,5.3024723e-13,5066.9844,4.29,-0.8379,283.9286,0.0007,0.0006,0.0003,61.71304609778918,-80.07626491250814,0.011501765,0.010672388,61.716287499999986,-80.07610555555556,0.0007416666666666665,0.0001277777777777778,3165,2.0912539200979614,1.0138685111369326e-05,19.0,2.0,,5.044173901960388
22,4625345908510108032,0.8956486056024628,0.08184209,9.306615622444662,0.10173991,12.592995517045203,0.10409413,,False,1358.3526275395134,1.4350207,17.854836,518.8693920348833,11.258795,18.550898,1157.1451731352547,17.089426,1.4614716,,NOT_AVAILABLE,False,False,0,1.0278052e-13,7.5193654e-13,4295.2007,4.6814,-0.0335,1274.6761,0.0062,0.0046,0.0024,61.76408990498222,-80.18182065433476,0.08123651,0.07509461,61.76824583333332,-80.18209722222223,0.0002333333333333333,3.888888888888889e-05,3343,2.738604180198082,1.3277127736967337e-05,218.4,8.7,,7.615524270516129
23,4625404766742624000,1.3937468430460778,0.13411595,-6.175439739611129,0.1498775,11.664500919572673,0.17466989,,False,959.6388672751714,1.4538088,18.232098,221.3356064196343,6.6492443,19.475914,1137.9934204926644,17.107546,2.3683681,,NOT_AVAILABLE,False,False,0,1.2610121e-13,6.6150086e-13,3556.0603,4.2721,-0.4942,888.0759,0.7638,0.509,0.3115,61.90789970076814,-79.5894118540008,0.120545454,0.11998951,61.90664999999998,-79.58932222222222,0.0006875,0.000125,3757,0.8746584491756909,4.240463824548476e-06,20.3,2.2,,8.953017483398952
24,4625339272785052160,3.3446269160848017,0.020237245,2.9034508543507265,0.023868341,41.53013750599266,0.028551778,,False,16061.885483848411,4.657411,15.172875,5339.477238531593,12.900353,16.019794,15535.96164246812,14.26955,1.7502441,-14.35241,NOT_AVAILABLE,False,False,0,1.0565753e-13,5.278005e-13,4254.5376,4.6361,0.0383,295.4375,0.6757,0.4934,0.2632,62.07589863194276,-80.37973351557316,0.018686056,0.019389268,62.073662500000005,-80.37997222222222,0.0007499999999999998,0.000125,4273,1.5963339945594897,7.739245601781114e-06,20.1,2.1,,7.794613402264761
25,4625404148267336832,0.9503605023045384,0.03648864,-6.087859734387447,0.04396068,-13.652411285742266,0.046890628,,False,5380.850537924739,2.358482,16.360239,2435.79001216445,10.970346,16.871943,4167.622826878059,15.698174,1.173768,,NOT_AVAILABLE,False,False,0,1.02396654e-13,5.115777e-13,5078.9434,4.6685,-0.4647,898.4242,0.3932,0.3139,0.1682,62.14832473753314,-79.58354709020837,0.034981746,0.033702508,62.14565,-79.58402222222222,0.0006916666666666666,0.000125,4495,2.4405921490328213,1.1832324638535373e-05,20.0,2.2,,6.249680892038491
26,4625378722060974208,2.062899536882011,0.05061286,16.70601292206004,0.07186589,32.1512009869747,0.067963935,,False,3765.1484748532366,2.6501012,16.747911,1058.9285850380584,11.12835,17.776375,3942.873298183477,15.758364,2.018011,,NOT_AVAILABLE,False,False,0,1.0765377e-13,5.3805777e-13,3993.7979,4.6813,-0.0836,443.3285,0.7143,0.5018,0.2794,62.277080670701714,-79.90568658892293,0.050660472,0.04897363,62.274254166666665,-79.90624722222223,0.0005375,9.444444444444446e-05,4911,2.6933100021196297,1.3057535364871406e-05,37.1,3.1,,8.32030139182852
27,4625392839617451520,1.6329230785473203,0.23363946,-0.3705898891845945,0.32718125,-0.123189651413967,0.31191942,1.1951532,False,339.8779036732752,1.058181,19.35906,71.72476098331619,7.2378473,20.69937,425.5798612666063,18.175444,2.5239258,,NOT_AVAILABLE,False,False,0,5.312445e-13,5.26046e-13,,,,,,,,62.29709942343087,-79.79062840626077,0.23465385,0.21759751,62.29582916666666,-79.79046666666666,0.0006708333333333333,0.00011944444444444444,4971,0.9979984395262081,4.838432972059775e-06,22.2,2.2,,10.423888635412485
28,4625338173273418240,1.3631915095052651,0.12554325,-2.887450032990436,0.1438519,1.181457182465836,0.15493858,,False,718.6983922646124,1.0787967,18.546,193.1681101899383,11.608501,19.623703,759.0511559532314,17.547218,2.0764847,,NOT_AVAILABLE,False,False,0,1.1670206e-13,5.473019e-13,3455.6643,4.4726,-1.1501,562.981,0.0979,0.0674,0.0375,62.37750604485847,-80.4173626141321,0.1148728,0.115853876,62.376670833333336,-80.41776944444445,0.0009583333333333333,0.00015833333333333332,5199,1.5477553042439927,7.503729465049128e-06,11.9,1.5,,9.218784362368057
29,4625347965799459456,2.589362806605754,0.31181002,32.133386241913826,0.3831622,-6.357079740396193,0.4107786,1.112302,False,256.32422054962353,0.86007905,19.665392,46.643762000337645,6.500068,21.16656,319.95452454616475,18.485174,2.681385,,NOT_AVAILABLE,False,False,0,1.0320468e-13,5.230665e-13,,,,,,,,62.40386983487567,-80.1853963436234,0.29375803,0.28991175,62.400574999999996,-80.1858,0.001008333333333333,0.0001722222222222222,5275,2.4899011478006248,1.2071381410584238e-05,10.2,1.3,,11.731356527701239
30,4625353983049358976,0.8366402525427354,0.038220707,13.383341669340403,0.04998741,12.691249583923009,0.05466103,,False,5261.38391968903,2.5202208,16.384617,2459.192215632509,14.120848,16.86156,3983.2443502633782,15.747303,1.1142578,,NOT_AVAILABLE,False,False,0,1.0250633e-13,5.1208186e-13,4867.1255,4.4854,-0.4758,1197.3209,0.0691,0.0549,0.0293,62.41241017276489,-80.00647754142521,0.038790293,0.037931785,62.41255,-80.00714722222222,0.0007083333333333334,0.000125,5309,2.412432846684462,1.1695804488235366e-05,20.6,2.1,,5.997310777894409
31,4625338315008780160,0.2767646203249549,0.03699289,1.521606178792939,0.043094624,12.648784251142978,0.0479276,,False,4381.717266594734,2.2911332,16.583256,2265.9521440889885,10.403141,16.950415,3077.488928913233,16.027405,0.9230099,,NOT_AVAILABLE,False,False,0,1.0211469e-13,5.1011273e-13,5777.8555,4.4228,-0.4739,1905.8236,0.3251,0.2714,0.1468,62.42623338467196,-80.39304744668702,0.035116315,0.0360308,62.4233625,-80.3924138888889,0.0005541666666666667,9.166666666666667e-05,5338,2.859596477736724,1.3863714948461982e-05,39.0,3.3,,3.7938088606488147
32,4622335441377714560,2.2946251836125904,0.3082792,11.96029423492534,0.3426264,9.35806138304309,0.3686411,1.3164349,False,247.39068016244107,0.80312186,19.703909,54.43206590538324,6.0884666,20.998905,332.30628991970497,18.44405,2.5548553,,NOT_AVAILABLE,False,False,0,1.4470063e-13,5.343417e-13,,,,,,,,62.629064037834425,-80.45085642992973,0.29464552,0.27721435,62.63165,-80.45103333333334,0.0009249999999999999,0.0001527777777777778,5969,1.6705224120634514,8.098921199675881e-06,12.9,1.6,,11.507467778379928
33,4625380676270028416,0.8040088363573565,0.048477076,1.1799679886590733,0.07693264,8.285790776111556,0.06494968,,False,3366.1501057665773,2.701688,16.869534,1253.7313468257664,11.987781,17.59303,3090.2000929284704,16.022928,1.5701027,,NOT_AVAILABLE,False,False,0,1.02472535e-13,5.379615e-13,4465.753,4.4858,0.1735,1056.2443,0.4768,0.3552,0.1874,62.71735696390022,-79.84110154990569,0.05051932,0.04631392,62.720699999999994,-79.84062222222222,0.0005083333333333333,8.888888888888889e-05,6259,2.7356374102071035,1.3262744430167635e-05,42.0,3.4,,6.395838109166087
